               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049633,            0.031591,            0.022563,             0.10246,            0.090696,            0.050382,            0.014672,            0.042137,            0.017612,            0.020307,             0.00307,             0.00307,             0.00307
                  37,            0.048896,            0.031179,            0.021747,             0.10625,            0.098737,            0.053841,            0.016793,            0.042027,            0.017571,            0.020242,            0.002872,            0.002872,            0.002872
                  38,            0.048959,            0.031478,            0.020953,            0.089268,             0.10022,            0.047183,            0.013042,            0.042354,            0.017682,            0.019307,            0.002674,            0.002674,            0.002674
                  39,            0.048738,            0.030846,            0.020785,              0.1058,             0.11629,            0.056038,            0.016768,            0.041676,            0.017624,            0.019086,            0.002476,            0.002476,            0.002476
                  40,            0.048236,            0.031413,             0.01965,            0.093695,             0.10466,            0.053263,            0.016262,             0.04179,             0.01767,            0.018685,            0.002278,            0.002278,            0.002278
                  41,            0.048052,            0.030791,            0.019788,             0.11892,             0.12843,            0.061157,            0.017295,            0.041599,            0.017651,            0.018163,             0.00208,             0.00208,             0.00208
                  42,            0.047897,            0.031178,            0.018622,              0.0938,             0.11503,            0.060633,            0.017659,            0.041447,            0.017693,            0.017882,            0.001882,            0.001882,            0.001882
                  43,            0.046996,            0.030878,             0.01942,             0.11194,             0.12745,            0.063431,            0.018512,            0.041442,            0.017658,            0.017887,            0.001684,            0.001684,            0.001684
                  44,            0.047068,            0.030955,            0.017825,             0.11414,              0.1411,            0.066155,            0.020179,            0.041522,            0.017655,            0.017171,            0.001486,            0.001486,            0.001486
                  45,              0.0466,            0.030463,            0.017418,              0.1125,              0.1388,            0.065825,            0.019043,            0.041091,             0.01763,            0.018398,            0.001288,            0.001288,            0.001288
                  46,            0.046636,            0.031094,            0.016572,             0.11055,              0.1431,            0.070259,             0.02053,             0.04135,             0.01757,             0.01801,             0.00109,             0.00109,             0.00109
                  47,            0.046271,            0.031206,            0.016904,             0.11179,             0.14135,            0.064775,            0.019095,            0.041035,            0.017654,            0.017959,            0.000892,            0.000892,            0.000892
                  48,            0.046075,            0.031044,            0.016094,              0.1193,             0.15865,            0.070448,            0.019529,            0.040994,            0.017717,            0.017816,            0.000694,            0.000694,            0.000694
                  49,            0.045836,            0.030782,            0.016055,              0.1157,             0.16017,            0.069575,            0.019614,            0.041245,            0.017692,             0.01808,            0.000496,            0.000496,            0.000496
